 a b max[expba,impab]
 HAI POL          6.09187267117
 HAI CZE         0.553806606470
 HAI ITA          15.5065849812
 ITA HAI          27.1365237170
 HAI RUS         0.924857032805
 RUS HAI         0.924857032805
 HAI SYR         0.553806606470
 SYR HAI         0.553806606470
 HAI CHN         0.553806606470
 HAI TAW          10.9099901475
 TAW HAI       3.322839638820E-02
 HAI JPN          3.87664624529
 HAI IND          1.66141981941
 HAI SRI          5.53806606470
 SRI HAI          5.53806606470
 DOM MEX          5.53806606470
 MEX DOM          5.53806606470
 HON DOM         0.609187267117
 DOM VEN          5.53806606470
 VEN DOM          3.87664624529
 URU DOM         0.553806606470
 DOM UKG          7.75329249058
 UKG DOM          225.399288833
 IRE DOM          2.21522642588
 DOM NTH          1.10761321294
 NTH DOM          10.5223255229
 DOM BEL          5.87035002858
 BEL DOM          5.31654342211
 DOM LUX         0.221522642588
 LUX DOM         0.221522642588
 DOM FRN          3.32283963882
 DOM SWZ          1.10761321294
 SWZ DOM          3.32283963882
 DOM SPN          1.66141981941
 SPN DOM          22.1522642588
 DOM GFR          5.53806606470
 GFR DOM          5.53806606470
 DOM CZE         0.553806606470
 CZE DOM         0.553806606470
 DOM ITA          2.21522642588
 ITA DOM          4.98425945823
 DOM ALB         0.947009297064
 ALB DOM         0.947009297064
 DOM SWD         0.553806606470
 DOM DEN         0.553806606470
 DOM YEM          2.71365237170
 YEM DOM          2.71365237170
 DOM TAW          37.4816311259
 TAW DOM       6.091872671170E-02
 DOM JPN          5.53806606470
 DOM IND          11.6299387359
 SRI DOM          3.87664624529
 GUA MEX          38.7664624529
 HON MEX          6.09187267117
 SAL MEX          5.53806606470
 MEX NIC          3.04593633559
 NIC MEX          3.04593633559
 MEX COS          5.53806606470
 COS MEX          5.53806606470
 PAN MEX          6.09187267117
 COL MEX          5.53806606470
 VEN MEX          11.0761321294
 MEX PER         0.553806606470
 PER MEX          2.21522642588
 MEX BRA          16.6141981941
 BRA MEX          11.0761321294
 MEX CHL         0.553806606470
 CHL MEX          11.0761321294
 MEX ARG          5.53806606470
 ARG MEX          2.76903303235
 MEX URU          2.76903303235
 URU MEX          2.76903303235
 MEX UKG          77.5329249058
 UKG MEX          88.6090570352
 MEX NTH          11.0761321294
 NTH MEX          27.6903303235
 MEX BEL          21.2661736884
 BEL MEX          101.014325020
 MEX LUX         0.886090570352
 LUX MEX          4.20893020917
 MEX FRN          44.3045285176
 FRN MEX          33.2283963882
 MEX SWZ          44.3045285176
 SWZ MEX          60.9187267117
 MEX SPN          16.6141981941
 MEX POR          5.53806606470
 POR MEX          5.53806606470
 MEX GFR          49.8425945823
 GFR MEX          33.2283963882
 MEX GDR         0.869476372158
 MEX POL          1.10761321294
 POL MEX          11.0761321294
 MEX AUS          5.53806606470
 AUS MEX          5.53806606470
 MEX CZE          5.53806606470
 MEX ITA          55.3806606470
 ITA MEX          66.4567927764
 ALB MEX         0.409816888788
 MEX YUG          5.53806606470
 YUG MEX          5.53806606470
 MEX GRC          11.0761321294
 GRC MEX          11.0761321294
 MEX RUS          5.53806606470
 RUS MEX          5.53806606470
 MEX FIN          5.53806606470
 MEX SWD          33.2283963882
 SWD MEX          38.7664624529
 MEX NOR          5.53806606470
 MEX SAF         0.553806606470
 SAF MEX         0.553806606470
 MEX IRN          11.0761321294
 IRN MEX          11.0761321294
 MEX IRQ          1.10761321294
 IRQ MEX          1.10761321294
 MEX SYR          9.41471230999
 SYR MEX          9.41471230999
 MEX LEB          2.21522642588
 LEB MEX          2.21522642588
 ISR MEX          1.10761321294
 MEX TAW          1.34021198766
 TAW MEX          1.34021198766
 MEX JPN          16.6141981941
 JPN MEX          94.1471230999
 MEX IND          5.53806606470
 IND MEX          5.53806606470
 MEX SRI          12.1837453423
 MEX AUL          27.6903303235
 MEX NEW          5.53806606470
 GUA HON         0.553806606470
 HON GUA         0.609187267117
 GUA SAL          8.30709909705
 SAL GUA          1.10761321294
 PAN GUA          1.10761321294
 GUA VEN          1.66141981941
 GUA PER          1.66141981941
 GUA UKG          12.1837453423
 GUA NTH          1.66141981941
 NTH GUA          11.6299387359
 GUA BEL          7.42100852670
 BEL GUA          12.7375519488
 GUA LUX         0.332283963882
 LUX GUA         0.553806606470
 GUA FRN          2.76903303235
 FRN GUA          1.66141981941
 GUA SWZ          5.53806606470
 SWZ GUA          11.0761321294
 GUA SPN          1.10761321294
 GUA GFR          11.0761321294
 GFR GUA          5.53806606470
 GUA AUS         0.553806606470
 AUS GUA         0.553806606470
 GUA CZE          2.76903303235
 GUA ITA          2.76903303235
 ITA GUA          6.64567927764
 GUA SWD          1.66141981941
 GUA AFG       5.538066064700E-03
 AFG GUA       5.538066064700E-03
 GUA TAW          15.5231991794
 TAW GUA          24.6831604504
 GUA JPN          1.10761321294
 GUA IND          3.32283963882
 GUA BHU       1.107613212940E-02
 BHU GUA       1.107613212940E-02
 HON SAL          9.74699627387
 SAL HON          19.3832312265
 HON NIC         0.609187267117
 HON COS         0.553806606470
 COS HON          2.21522642588
 PAN HON          1.10761321294
 HON VEN         0.609187267117
 VEN HON          1.10761321294
 HON PER          1.82756180135
 HON UKG          4.87349813694
 UKG HON          3.32283963882
 NTH HON          1.10761321294
 HON BEL         0.553806606470
 BEL HON         0.553806606470
 HON FRN         0.609187267117
 HON SWZ         0.609187267117
 HON GFR          2.43674906847
 HON ITA          2.76903303235
 ITA HON          3.32283963882
 HON SWD         0.553806606470
 HON TAW          11.4028780272
 TAW HON          3.74927072580
 HON JPN          3.32283963882
 SAL NIC          3.87664624529
 NIC SAL          1.21837453423
 COS SAL         0.553806606470
 PAN SAL         0.553806606470
 VEN SAL         0.553806606470
 SAL PER          4.43045285176
 SAL CHL          1.10761321294
 SAL UKG          8.86090570352
 UKG SAL          6.64567927764
 SAL NTH          6.64567927764
 NTH SAL          5.53806606470
 SAL BEL          3.21207831753
 BEL SAL          4.26431086982
 SAL LUX         0.110761321294
 LUX SAL         0.166141981941
 SAL FRN          2.76903303235
 SAL SWZ          3.32283963882
 SWZ SAL          6.64567927764
